"y","msl_mean","sp_mean","pred_mean","pred_sd"
0,101281.015625,99493.8828125,0.555355548858643,NA
0,101474.7578125,99266.796875,0.848726749420166,NA
0,100969.484375,89368.7109375,0.0499292463064194,NA
0,101202.40625,100672.3515625,0.236838415265083,NA
0,100461.515625,99733.328125,0.154601559042931,NA
0,101057.8359375,97810.2265625,0.0306321755051613,NA
0,101182.109375,100591.5546875,0.236838415265083,NA
0,100903.234375,98626.4140625,0.0538713335990906,NA
0,101544.2265625,95052.1875,0.879287540912628,NA
0,101244.0234375,89620.8984375,0.0745808854699135,NA
0,101727.3046875,101709.453125,0.12714596092701,NA
0,100881.6015625,99434.8359375,0.136898085474968,NA
0,100886.3984375,99617.8515625,0.154601559042931,NA
0,101161.40625,98953.875,0.189014703035355,NA
0,101846.171875,91087.75,0.34940630197525,NA
0,101349.4375,99685.7734375,0.760996639728546,NA
0,101170.5234375,99457.1171875,0.279987692832947,NA
0,101185.78125,84708.1640625,0.0745808854699135,NA
0,100977.703125,99659.90625,0.154601559042931,NA
0,101018.296875,90992.375,0.0499292463064194,NA
0,101148.8203125,100386.9375,0.346589028835297,NA
0,101554.4609375,89293.65625,0.840211749076843,NA
0,100850.5703125,100632.859375,0.112359337508678,NA
0,100949.25,96144.59375,0.0355692692101002,NA
0,101542.828125,87720.6640625,0.802680850028992,NA
0,101015.1015625,100125.875,0.15025095641613,NA
1,101280.578125,99817.125,0.590171098709106,NA
0,101011.609375,98678.4765625,0.0538713335990906,NA
0,101119.09375,100762.6875,0.157507076859474,NA
0,100832,96940.171875,0.0355692692101002,NA
1,101328.8046875,100597.5546875,0.462363749742508,NA
0,100804.5625,100000.484375,0.148252680897713,NA
0,101569.546875,83148.4296875,0.86157351732254,NA
0,101222.34375,98860.75,0.152860879898071,NA
0,101422.9765625,91678.609375,0.520335614681244,NA
0,101804.78125,88495.921875,0.420370697975159,NA
0,101641.5625,100299.453125,0.244804158806801,NA
0,101060.3359375,100045.0078125,0.114453248679638,NA
0,101475.7421875,100686.546875,0.646215915679932,NA
0,101086.296875,98440.8828125,0.0538713335990906,NA
0,101641.1640625,101288.4453125,0.191937878727913,NA
0,101342.25,101324.1171875,0.32842892408371,NA
0,100598.203125,100471.359375,0.143471464514732,NA
1,101590.9375,91892.4140625,0.884602189064026,NA
0,101073.7421875,99710.3203125,0.154601559042931,NA
0,101658.296875,99582.6171875,0.4242143034935,NA
0,101973.1953125,100103.2734375,0.122032091021538,NA
1,101579.90625,96401.9140625,0.871714413166046,NA
0,101626.625,99465.546875,0.614571928977966,NA
0,100792.171875,99076.2421875,0.0915246158838272,NA
0,101614.0859375,95971.890625,0.849667131900787,NA
0,101618.8671875,101604.46875,0.259250551462173,NA
0,101236.6640625,99335.71875,0.231067597866058,NA
0,101940.953125,98787.59375,0.101071462035179,NA
0,101234.90625,100735.3671875,0.236838415265083,NA
0,101370.84375,98364.015625,0.310469388961792,NA
0,101374.1328125,92913.1015625,0.519732236862183,NA
0,101132.9140625,100843.5625,0.100332647562027,NA
0,101794.515625,95780.3828125,0.246228381991386,NA
0,101463.421875,100744.125,0.61604106426239,NA
0,101322.390625,97259.90625,0.345043063163757,NA
0,101355.921875,98959.5078125,0.593697071075439,NA
